epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,156.316,0.63914,1.50725,0.8492,0.69483,0.82938,0.8791,0.78622,0.45171,2.68627,0.78781,0.000101643,0.000101643,0.000101643
14,168.088,0.5612,1.30567,0.82814,0.78035,0.87949,0.91051,0.82534,0.40096,2.23751,0.7794,0.000107254,0.000107254,0.000107254
15,180.062,0.46044,1.08051,0.83261,0.85779,0.89333,0.92312,0.84269,0.38076,2.1079,0.77388,0.000112424,0.000112424,0.000112424
16,192.307,0.53788,1.23818,0.84687,0.70157,0.89015,0.9039,0.83786,0.37134,2.70656,0.77009,0.000117155,0.000117155,0.000117155
17,204.431,0.51685,1.22146,0.8145,0.75155,0.77939,0.81231,0.76933,0.36675,3.22659,0.76704,0.000121446,0.000121446,0.000121446
18,216.622,0.51733,1.15473,0.85588,0.75155,0.77939,0.81231,0.76933,0.36675,3.22659,0.76704,0.000125296,0.000125296,0.000125296
19,228.502,0.46909,0.97784,0.83508,0.9191,0.93306,0.96949,0.91471,0.34956,1.41738,0.76415,0.000128707,0.000128707,0.000128707
20,240.307,0.45705,0.84763,0.79649,0.9191,0.93306,0.96949,0.91471,0.34956,1.41738,0.76415,0.000131678,0.000131678,0.000131678
21,252.4,0.4448,0.82231,0.80686,0.9698,0.92378,0.97007,0.9307,0.31096,1.01845,0.75873,0.000134209,0.000134209,0.000134209
22,263.822,0.38356,0.7683,0.80526,0.9698,0.92378,0.97007,0.9307,0.31096,1.01845,0.75873,0.0001363,0.0001363,0.0001363
23,275.287,0.39076,0.73276,0.80683,0.9783,0.93888,0.96512,0.92822,0.30252,0.95598,0.75702,0.000137951,0.000137951,0.000137951
24,286.55,0.38058,0.76783,0.81274,0.9783,0.93888,0.96512,0.92822,0.30252,0.95598,0.75702,0.000139162,0.000139162,0.000139162
25,297.939,0.36445,0.64294,0.81394,0.97379,0.94667,0.96655,0.93219,0.29656,0.90823,0.7547,0.000139933,0.000139933,0.000139933
26,309.395,0.34984,0.59251,0.81009,0.97379,0.94667,0.96655,0.93219,0.29656,0.90823,0.7547,0.000140264,0.000140264,0.000140264
27,320.726,0.40448,0.62392,0.81645,0.96794,0.95049,0.96835,0.92905,0.28968,0.83256,0.75314,0.000140155,0.000140155,0.000140155
28,333.478,0.36084,0.61691,0.79205,0.96794,0.95049,0.96835,0.92905,0.28968,0.83256,0.75314,0.000139606,0.000139606,0.000139606
29,346.739,0.37222,0.65001,0.79418,0.96932,0.96,0.97112,0.93702,0.29816,0.76282,0.75451,0.000138617,0.000138617,0.000138617
30,364.654,0.39446,0.63484,0.79975,0.96932,0.96,0.97112,0.93702,0.29816,0.76282,0.75451,0.000137189,0.000137189,0.000137189
31,376.698,0.34638,0.59919,0.81821,0.97312,0.96,0.97742,0.93903,0.3066,0.69788,0.75639,0.00013532,0.00013532,0.00013532
32,388.704,0.43085,0.6453,0.81186,0.97312,0.96,0.97742,0.93903,0.3066,0.69788,0.75639,0.000133011,0.000133011,0.000133011
33,400.05,0.36743,0.57896,0.80464,0.97472,0.96507,0.98048,0.94501,0.30748,0.64586,0.75712,0.000130263,0.000130263,0.000130263
34,411.524,0.37511,0.60168,0.81298,0.97472,0.96507,0.98048,0.94501,0.30748,0.64586,0.75712,0.000127074,0.000127074,0.000127074
35,422.837,0.3743,0.5818,0.81179,0.97448,0.97306,0.98214,0.9532,0.29611,0.61657,0.75576,0.000123445,0.000123445,0.000123445
36,434.298,0.3544,0.59446,0.79685,0.97448,0.97306,0.98214,0.9532,0.29611,0.61657,0.75576,0.000119377,0.000119377,0.000119377
37,445.871,0.39475,0.60253,0.80206,0.97662,0.9782,0.98377,0.95679,0.27781,0.58691,0.75246,0.000114869,0.000114869,0.000114869
38,457.097,0.33734,0.52579,0.81095,0.97662,0.9782,0.98377,0.95679,0.27781,0.58691,0.75246,0.00010992,0.00010992,0.00010992
39,468.337,0.31744,0.52868,0.80411,0.97413,0.97875,0.98386,0.96511,0.25536,0.54973,0.74879,0.000104532,0.000104532,0.000104532
40,479.46,0.37284,0.51465,0.80211,0.97413,0.97875,0.98386,0.96511,0.25536,0.54973,0.74879,9.87035e-05,9.87035e-05,9.87035e-05
41,490.839,0.31798,0.58007,0.79258,0.97258,0.97953,0.98392,0.96198,0.24569,0.52925,0.74639,9.24352e-05,9.24352e-05,9.24352e-05
42,502.055,0.27301,0.56657,0.75335,0.97258,0.97953,0.98392,0.96198,0.24569,0.52925,0.74639,8.5727e-05,8.5727e-05,8.5727e-05
43,513.477,0.33807,0.58526,0.78276,0.97193,0.98164,0.98393,0.9639,0.24614,0.51749,0.74563,7.85788e-05,7.85788e-05,7.85788e-05
44,524.867,0.3215,0.58002,0.78727,0.97193,0.98164,0.98393,0.9639,0.24614,0.51749,0.74563,7.09907e-05,7.09907e-05,7.09907e-05
45,536.061,0.3081,0.57614,0.80716,0.9749,0.98304,0.98393,0.96467,0.24973,0.50859,0.74545,6.29626e-05,6.29626e-05,6.29626e-05
46,547.415,0.35282,0.59227,0.79191,0.9749,0.98304,0.98393,0.96467,0.24973,0.50859,0.74545,5.44945e-05,5.44945e-05,5.44945e-05
47,558.644,0.32361,0.59401,0.76773,0.97663,0.98488,0.98397,0.96195,0.24763,0.50321,0.74509,4.55866e-05,4.55866e-05,4.55866e-05
48,569.644,0.264,0.49345,0.78005,0.97663,0.98488,0.98397,0.96195,0.24763,0.50321,0.74509,3.62386e-05,3.62386e-05,3.62386e-05
49,580.783,0.2705,0.51157,0.77503,0.98002,0.98667,0.98399,0.96642,0.24333,0.49263,0.74465,2.64507e-05,2.64507e-05,2.64507e-05
50,591.787,0.29625,0.54161,0.80492,0.98002,0.98667,0.98399,0.96642,0.24333,0.49263,0.74465,1.62228e-05,1.62228e-05,1.62228e-05
