epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0137,2.06684,4.57696,1.46065,0.00021,0.01333,0.00037,0.00019,1.76706,5.62946,1.61314,0,0,0
2,22.4066,2.35712,4.949,1.49589,0.20068,0.01333,0.00135,0.00084,1.7135,5.50275,1.57141,1.089e-05,1.089e-05,1.089e-05
3,36.3702,1.97779,4.30471,1.39083,0.2023,0.01333,0.00194,0.00126,1.61201,5.25,1.49865,2.13401e-05,2.13401e-05,2.13401e-05
4,48.1689,1.78344,4.11975,1.30928,0.21005,0.01333,0.00597,0.00384,1.43484,4.83959,1.38294,3.13502e-05,3.13502e-05,3.13502e-05
5,59.8106,1.57794,3.80828,1.16539,0.46992,0.02667,0.01983,0.01293,1.21488,4.30627,1.22758,4.09204e-05,4.09204e-05,4.09204e-05
6,71.7104,1.3511,3.39661,1.15975,0.36974,0.09333,0.0601,0.04268,0.93159,3.72687,1.07882,5.00506e-05,5.00506e-05,5.00506e-05
7,83.674,0.94189,2.89509,0.99991,0.43168,0.13611,0.19694,0.14973,0.74234,3.20181,0.97715,5.87408e-05,5.87408e-05,5.87408e-05
8,96.1935,0.92013,2.47396,0.95588,0.40569,0.45333,0.29428,0.22218,0.68164,2.84793,0.91686,6.69911e-05,6.69911e-05,6.69911e-05
9,108.129,0.64103,2.24861,0.92385,0.51253,0.45333,0.42223,0.33597,0.69343,2.83916,0.87601,7.48014e-05,7.48014e-05,7.48014e-05
10,119.923,0.70607,2.10614,0.90035,0.5645,0.54667,0.55281,0.44476,0.70413,2.82124,0.84718,8.21718e-05,8.21718e-05,8.21718e-05
11,132.09,0.65526,1.77793,0.90293,0.61962,0.74499,0.68291,0.57608,0.64451,2.7506,0.82225,8.91022e-05,8.91022e-05,8.91022e-05
12,143.877,0.71406,1.60041,0.8546,0.67887,0.75488,0.79007,0.68149,0.53312,2.84865,0.79981,9.55927e-05,9.55927e-05,9.55927e-05
